tweet_id,text,rating_numerator,rating_denominator,name,dogs_stage,retweet_count,favorite_count,display_text_range,year,month,day,net_rate,jpg_url
667550904950915073,"RT @dogratingrating: Exceptional talent. Original humor. Cutting edge, Nova Scotian comedian. 12/10 https://t.co/uarnTjBeVA",12.0,10.0,NaN,NaN,37.0,0.0,"[0, 123]",2015,11,20,1.2,https://pbs.twimg.com/media/CUOb_gUUkAACXdS.jpg
667550882905632768,RT @dogratingrating: Unoriginal idea. Blatant plagiarism. Curious grammar. -5/10 https://t.co/r7XzeQZWzb,5.0,10.0,NaN,NaN,34.0,0.0,"[0, 104]",2015,11,20,0.5,https://pbs.twimg.com/media/CUObvUJVEAAnYPF.jpg
667549055577362432,Never seen dog like this. Breathes heavy. Tilts head in a pattern. No bark. Shitty at fetch. Not even cordless. 1/10 https://t.co/i9iSGNn3fx,1.0,10.0,NaN,NaN,2454.0,6138.0,"[0, 140]",2015,11,20,0.1,https://pbs.twimg.com/media/CUOcVCwWsAERUKY.jpg
667546741521195010,Here is George. George took a selfie of his new man bun and that is downright epic. (Also looks like Rand Paul) 9/10 https://t.co/afRtVsoIIb,9.0,10.0,George,NaN,138.0,355.0,"[0, 140]",2015,11,20,0.9,https://pbs.twimg.com/media/CUOaOWXWcAA0_Jy.jpg
667544320556335104,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",10.0,10.0,Kial,NaN,568.0,917.0,"[0, 139]",2015,11,20,1.0,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg
667538891197542400,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",9.0,10.0,a,NaN,72.0,220.0,"[0, 117]",2015,11,20,0.9,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg
667724302356258817,What a dog to start the day with. Very calm. Likes to chill by pond. Corkscrews sticking out of head. Obedient. 7/10 https://t.co/0nIxPTDWAZ,7.0,10.0,NaN,NaN,341.0,517.0,"[0, 140]",2015,11,20,0.7,https://pbs.twimg.com/media/CUQ7tv3W4AA3KlI.jpg
667534815156183040,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",8.0,10.0,Frank,NaN,576.0,866.0,"[0, 140]",2015,11,20,0.8,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg
667524857454854144,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,12.0,10.0,NaN,NaN,1198.0,1798.0,"[0, 136]",2015,11,20,1.2,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg
667517642048163840,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,8.0,10.0,Dook,NaN,203.0,389.0,"[0, 143]",2015,11,20,0.8,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg
667509364010450944,This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles https://t.co/0aDF62KVP7,12.0,10.0,NaN,NaN,2272.0,7148.0,"[0, 116]",2015,11,20,1.2,https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg
667502640335572993,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,11.0,10.0,Hall,NaN,231.0,563.0,"[0, 140]",2015,11,20,1.1,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg
